"2281","PMSA","70","B","NY","Dutchess County"
"2290","MSA",,"C","WI","Eau Claire"
"2320","MSA",,"B","TX","El Paso"
"2330","MSA",,"C","IN","Elkhart-Goshen"
"2335","MSA",,"D","NY","Elmira"
"2340","MSA",,"D","OK","Enid"
"2360","MSA",,"B","PA","Erie"
"2400","MSA",,"B","OR","Eugene-Springfield"
"2440","MSA",,"B","IN","Evansville-Henderson, IN-KY"
"2520","MSA",,"C","ND","Fargo-Moorhead, ND-MN"
"2560","MSA",,"B","NC","Fayetteville"
"2580","MSA",,"C","AR","Fayetteville-Springdale-Rogers"
"2600","PMSA","07","C","MA","Fitchburg-Leominster"
"2620","MSA",,"C","AZ","Flagstaff, AZ-UT"
"2640","PMSA","35","B","MI","Flint"
"2650","MSA",,"C","AL","Florence"
"2655","MSA",,"C","SC","Florence"
"2670","MSA",,"C","CO","Fort Collins-Loveland"
"2680","PMSA","56","A","FL","Fort Lauderdale"
"2700","MSA",,"B","FL","Fort Myers-Cape Coral"
"2710","MSA",,"B","FL","Fort Pierce-Port St. Lucie"
"2720","MSA",,"C","AR","Fort Smith, AR-OK"
"2750","MSA",,"C","FL","Fort Walton Beach"
"2760","MSA",,"B","IN","Fort Wayne"
"2800","PMSA","31","A","TX","Fort Worth-Arlington"
"2840","MSA",,"B","CA","Fresno"
"2880","MSA",,"D","AL","Gadsden"
"2900","MSA",,"C","FL","Gainesville"
"2920","PMSA","42","C","TX","Galveston-Texas City"
"2960","PMSA","14","B","IN","Gary"
"2975","MSA",,"C","NY","Glens Falls"
"2980","MSA",,"C","NC","Goldsboro"
"2985","MSA",,"C","ND","Grand Forks, ND-MN"
"2995","MSA",,"D","CO","Grand Junction"
"3000","MSA",,"B","MI","Grand Rapids-Muskegon-Holland"
"3040","MSA",,"D","MT","Great Falls"
"3060","PMSA","34","C","CO","Greeley"
"3080","MSA",,"C","WI","Green Bay"
"3120","MSA",,"A","NC","Greensboro--Winston-Salem--High Point"
"3150","MSA",,"C","NC","Greenville"
"3160","MSA",,"B","SC","Greenville-Spartanburg-Anderson"
"3180","PMSA","97","C","MD","Hagerstown"
"3200","PMSA","21","B","OH","Hamilton-Middletown"
"3240","MSA",,"B","PA","Harrisburg-Lebanon-Carlisle"
"3280","MSA",,"A","CT","Hartford"
"3285","MSA",,"D","MS","Hattiesburg"
"3290","MSA",,"B","NC","Hickory-Morganton-Lenoir"
"3320","MSA",,"B","HI","Honolulu"
"3350","MSA",,"C","LA","Houma"
"3360","PMSA","42","A","TX","Houston"
"3400","MSA",,"B","WV","Huntington-Ashland, WV-KY-OH"
"3440","MSA",,"B","AL","Huntsville"
"3480","MSA",,"A","IN","Indianapolis"
"3500","MSA",,"D","IA","Iowa City"
"3520","MSA",,"C","MI","Jackson"
"3560","MSA",,"B","MS","Jackson"
"3580","MSA",,"D","TN","Jackson"
"3600","MSA",,"B","FL","Jacksonville"
"3605","MSA",,"C","NC","Jacksonville"
"3610","MSA",,"C","NY","Jamestown"
"3620","MSA",,"C","WI","Janesville-Beloit"
"3640","PMSA","70","B","NJ","Jersey City"
"3660","MSA",,"B","TN","Johnson City-Kingsport-Bristol, TN-VA"
"3680","MSA",,"C","PA","Johnstown"
"3700","MSA",,"D","AR","Jonesboro"
"3710","MSA",,"C","MO","Joplin"
"3720","MSA",,"B","MI","Kalamazoo-Battle Creek"
"3740","PMSA","14","D","IL","Kankakee"
"3760","MSA",,"A","MO","Kansas City, MO-KS"
"3800","PMSA","14","C","WI","Kenosha"
"3810","MSA",,"B","TX","Killeen-Temple"
"3840","MSA",,"B","TN","Knoxville"
"3850","MSA",,"D","IN","Kokomo"
"3870","MSA",,"C","WI","La Crosse, WI-MN"
"3880","MSA",,"B","LA","Lafayette"
"3920","MSA",,"C","IN","Lafayette"
"3960","MSA",,"C","LA","Lake Charles"
